ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Delivery_Distance_km,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Traffic_encoded
0x4607,INDORES13DEL02,37.0,4.9,22.745049,75.892471,22.765049,75.912471,3.0251492856775037,2022-03-19,2026-09-03 11:30:00,2026-09-18 11:45:00,Sunny,Medium,2,Snack,motorcycle,0.0,No,Urban,24.0,2
0xb379,BANGRES18DEL02,34.0,4.5,12.913041,77.683237,13.043041,77.813237,20.183529728733618,2022-03-25,2026-09-03 19:45:00,2026-09-18 19:50:00,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,33.0,4
0x5d6d,BANGRES19DEL01,23.0,4.4,12.914264,77.6784,12.924264,77.6884,1.5527578022548725,2022-03-19,2026-09-03 08:30:00,2026-09-18 08:45:00,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,26.0,2
0x7a6a,COIMBRES13DEL02,38.0,4.7,11.003669,76.976494,11.053669,77.026494,7.790401360105752,2022-04-05,2026-09-03 18:00:00,2026-09-18 18:10:00,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21.0,1
0x70a2,CHENRES12DEL01,32.0,4.6,12.972793,80.249982,13.012793,80.289982,6.2101379656240985,2022-03-26,2026-09-03 13:30:00,2026-09-18 13:45:00,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,30.0,4
0x9bb4,HYDRES09DEL03,22.0,4.8,17.431668,78.408321,17.461668,78.438321,4.610365144357058,2022-03-11,2026-09-03 21:20:00,2026-09-18 21:30:00,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Urban,26.0,2
0x95b4,RANCHIRES15DEL01,33.0,4.7,23.369746,85.33982,23.479746,85.44982,16.600361127912656,2022-03-04,2026-09-03 19:15:00,2026-09-18 19:30:00,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,40.0,4
0x9eb2,MYSRES15DEL02,35.0,4.6,12.352058,76.60665,12.482058,76.73665,20.20525323529291,2022-03-14,2026-09-03 17:25:00,2026-09-18 17:30:00,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,32.0,4
0x1102,HYDRES05DEL02,22.0,4.8,17.433809,78.386744,17.563809,78.516744,19.975520086221444,2022-03-20,2026-09-03 20:55:00,2026-09-18 21:05:00,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34.0,4
0xcdcd,DEHRES17DEL01,36.0,4.2,30.327968,78.046106,30.397968,78.116106,10.280582064621875,2022-02-12,2026-09-03 21:55:00,2026-09-18 22:10:00,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46.0,4
0xd987,KOCRES16DEL01,21.0,4.7,10.003064,76.307589,10.043064,76.347589,6.242318682701243,2022-02-13,2026-09-03 14:55:00,2026-09-18 15:05:00,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,23.0,2
0x2784,PUNERES13DEL03,23.0,4.7,18.56245,73.916619,18.65245,74.006619,13.787860239172547,2022-03-04,2026-09-03 17:30:00,2026-09-18 17:40:00,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,21.0,1
0xc8b6,LUDHRES15DEL02,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2.9302578007621216,2022-02-13,2026-09-03 09:20:00,2026-09-18 09:30:00,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20.0,1
0xdb64,KNPRES14DEL02,24.0,4.7,26.463504,80.372929,26.593504,80.502929,19.39661829066159,2022-02-14,2026-09-03 19:50:00,2026-09-18 20:05:00,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41.0,4
0x3af3,MUMRES15DEL03,29.0,4.5,19.176269,72.836721,19.266269,72.926721,13.763977224427641,2022-04-02,2026-09-03 20:25:00,2026-09-18 20:35:00,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,20.0,1
0x3aab,MYSRES01DEL01,35.0,4.0,12.311072,76.654878,12.351072,76.694878,6.21800119018663,2022-03-01,2026-09-03 14:55:00,2026-09-18 15:10:00,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,33.0,4
0x689b,PUNERES20DEL01,33.0,4.2,18.592718,73.773572,18.702718,73.883572,16.849939918016492,2022-03-16,2026-09-03 20:30:00,2026-09-18 20:40:00,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40.0,4
0x6f67,HYDRES14DEL01,34.0,4.9,17.426228,78.407495,17.496228,78.477495,10.757108800258132,2022-03-20,2026-09-03 20:40:00,2026-09-18 20:50:00,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41.0,4
0xc9cf,KOLRES15DEL03,21.0,4.7,22.552672,88.352885,22.582672,88.382885,4.5405743887312955,2022-02-15,2026-09-03 21:15:00,2026-09-18 21:30:00,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,15.0,1
0x36b8,PUNERES19DEL02,25.0,4.1,18.563934,73.915367,18.643935,73.995367,12.256076445468295,2022-03-16,2026-09-03 20:20:00,2026-09-18 20:25:00,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36.0,4
0x5795,RANCHIRES06DEL02,31.0,4.7,23.357804,85.325146,23.487804,85.455146,19.618739348801018,2022-03-10,2026-09-03 22:30:00,2026-09-18 22:45:00,Sandstorms,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,26.0,2
0x6c6b,COIMBRES13DEL01,37.0,5.0,11.003669,76.976494,11.013669,76.986494,1.5581322655568652,2022-03-11,2026-09-03 08:15:00,2026-09-18 08:30:00,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20.0,1
0xb816,CHENRES19DEL02,33.0,4.3,12.986047,80.218114,13.116047,80.348114,20.180635114114718,2022-03-27,2026-09-03 19:30:00,2026-09-18 19:45:00,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39.0,4
0x539b,MUMRES02DEL01,25.0,4.0,19.221315,72.862381,19.261315,72.902381,6.116971669682334,2022-03-26,2026-09-03 12:25:00,2026-09-18 12:30:00,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34.0,4
0xa1b2,CHENRES01DEL01,29.0,4.5,13.005801,80.250744,13.115801,80.360744,17.07559440107296,2022-03-27,2026-09-03 18:35:00,2026-09-18 18:50:00,Sunny,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,15.0,1
0x3231,JAPRES16DEL03,27.0,5.0,26.849596,75.800512,26.879596,75.830512,4.470286489434607,2022-04-05,2026-09-03 20:35:00,2026-09-18 20:40:00,Stormy,Low,0,Snack,motorcycle,0.0,No,Urban,18.0,1
0x8bc0,SURRES15DEL03,35.0,4.3,21.160522,72.771477,21.250522,72.861477,13.68204452608078,2022-03-12,2026-09-03 23:20:00,2026-09-18 23:30:00,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,38.0,4
0x2288,BANGRES09DEL03,32.0,4.0,12.934179,77.615797,13.024179,77.705797,13.973182653917394,2022-03-16,2026-09-03 21:20:00,2026-09-18 21:35:00,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47.0,4
0x3c5e,PUNERES04DEL01,23.0,4.8,18.51421,73.838429,18.62421,73.948429,16.85361872985359,2022-04-02,2026-09-03 23:35:00,2026-09-18 23:45:00,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12.0,1
0x3e60,COIMBRES02DEL03,31.0,4.8,11.022477,76.995667,11.052477,77.025667,4.674172124263269,2022-04-01,2026-09-03 22:35:00,2026-09-18 22:50:00,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,26.0,2
